Caracteristica,Label,MaxChars,Prefixos,modo,coluna,SubLabel
capacidadekW,Capacidade de aquecimento(kW),30,FT;FH;FTI,C,E,
potenciakW,Potência nominal(kW),20,FT;FH;FTI,C,E,
cop,COP,10,FT;FH;FTI,C,E,
tensaoNominal,Tensão nominal,20,FT;FH;FTI,C,E,
faixaTensaoNominal,Faixa tensão nominal,20,FT;FH;FTI,C,E,
frequenciaNominal,Frequência nominal,20,FT;FH,E,E,
correnteNominal,Corrente nominal (A),20,FT;FH,E,E,
correnteRotor,Corrente rotor bloqueado,30,FT;FH,E,E,
potenciaMaxima,Potência máxima (kW),20,FTI,E,E,
correnteMaxima,Corrente máxima (A),20,FTI,E,E,
fluidoRefrigerante,Fluído refrigerante,25,FT;FH;FTI,C,E,
faixatempaquec, Faixa temp. aquecimento (°C),25,FTI,C,E,
pressaoDescarga,Pressão máx. descarga,25,FT;FH;FTI,C,D,
pressaoSuccao,Pressão máx. sucção,25,FT;FH;FTI,C,D,
pressaoAguaMin,Pressão d'água (mín),20,FT;FH;FTI,C,D,
pressaoAguaMax,Pressão d'água (máx),20,FT;FH;FTI,C,D,
vazaoAguaMin,Vazão d'água (mín),20,FT;FH;FTI,C,D,
vazaoAguaIdeal,Vazão d'água (ideal),20,FT;FH;FTI,C,D,
vazaoAguaMax,Vazão d'água (máx),20,FT;FH;FTI,C,D,
classeIsolacao,Classe de isolação,20,FT;FH;FTI,C,D,
grauProtecao,Grau de proteção,20,FT;FH;FTI,C,D,
ruido,Ruído (dB(A)),15,FT;FH;FTI,C,D,
pesoLiquido,Peso líquido (kg),20,FT;FH;FTI,C,D,


