"Identificação do Produto";"Descrição do Produto";"Tipo do Produto";"Operação";"Qtde Prevista";"Unidade";"Qtde Cúbica";"Custo Unitário";"Custo Total";"Ficha"
"ABRACADEIRA DE NYLON PRETA 4,8X280MM";"07.MP.N.70005";"";"MONTAGEM";"2";"UN";"";"";"";""
"ABRACADEIRA DE NYLON PRETA 4,8X280MM";"07.MP.N.70005";"";"HIGIENIZAÇÃO";"5";"UN";"";"";"";""
"ADESIVO CHOQUE ELETRICO";"01.MP.N.30003";"";"HIGIENIZAÇÃO";"1";"UN";"";"";"";""
"ADESIVO DIAGRAMA TRI 380V FTi115/145 - PLACA SOLAREAST";"01.MP.N.30073";"";"HIGIENIZAÇÃO";"1";"UN";"";"";"";""
"ADESIVO FTI145 INDICACAO DE MODELO - N03.3 - PRETO";"01.MP.N.30057";"";"HIGIENIZAÇÃO";"1";"UN";"";"";"";""
"ADESIVO GRADE VENTILADOR SIMBOLO ECO R32 - N08.3 - PRETO";"01.MP.N.30042";"";"HIGIENIZAÇÃO";"1";"UN";"";"";"";""
"ADESIVO RESINADO BANDEIRA DO BRASIL";"01.MP.N.30063";"";"HIGIENIZAÇÃO";"1";"UN";"";"";"";""
"BORRACHA SELADOR PU TERMOPLASTICA ELASTIL SELANTE PRETO";"07.MP.N.90516";"";"MONTAGEM";"0,003";"UN";"";"";"";""
"CAIXA PAPELAO FT160 N03 930X930X900 COD 16420-1";"08.EM.N.31001";"";"TESTE FINAL";"1";"UN";"";"";"";""
"CANTONEIRA RIGIDA 100X50X3 COD 15577-1";"08.EM.N.31302";"";"TESTE FINAL";"4";"UN";"";"";"";""
"COLA ADESIVO PVC KRONA 175G COM PINCEL APLICADO KRONA";"07.MP.N.92001";"";"MONTAGEM";"0,04";"UN";"";"";"";""
"COMPRESSOR DC INVERTER R32 71000BTU/21100 MITSUBISHI LVB65FAEMC";"04.MP.I.71035";"";"MONTAGEM";"1";"UN";"";"";"";""
"FITA CINTA DE ARQUEAR PLASTICA PRETA 16MM";"08.EM.N.31100";"";"TESTE FINAL";"0,005";"RL";"";"";"";""
