base,commit_origem,commit_integrado,area,arquivos,teste_direcionado,fluxo_validado,retrabalho
e12867a5756e62324c13a1cf765fda200a7ef2b0,f013c04b20c4ae283adeaee1e904573174e46ad4,6962290,Recebimento,5,"ReceivingScreen + receivingGateway: 9 passed","Nó legado #menu-recebimento preservado; acesso por árvore real",0
e12867a5756e62324c13a1cf765fda200a7ef2b0,c36d0cf5d8842bb55ecc9476f8600d2d893b1676,dac9ec8,Ações de produto,3,"productActionsGateway: 9 passed","Fluxo Ações preservado no painel de produtos",0
e12867a5756e62324c13a1cf765fda200a7ef2b0,d51fcbb7d5ad9d69602f9d3c2bf1090448e409b0,088846c,Configurador do agente,5,"printAgentGateway: 5 passed","Ligado a #menu-configurar-agente e à árvore real de permissões",3
0ec89fbc2292b54f23c06be543264bbf9ea9e58d,"70dc7151546905fae026d38f73b045dc4ed562f7 + 66e59f51320c4a9e1ed274f85950fcbba92bbadd","ae7f00b + 31dc333",Armazéns,8,"WarehouseScreen + warehouseGateway: 6 passed","Ligado a #menu-armazens e à árvore real; ocupação 3D usa endereços reais",0
0ec89fbc2292b54f23c06be543264bbf9ea9e58d,95c70af4efa020dbc53fec27e2387934de2d7ce0,2f36ab9,Solicitação de ajuste,5,"StockAdjustmentScreen + stockAdjustmentGateway: 7 passed","Ligado a #menu-solicitacao-ajuste e à árvore real",0
0ec89fbc2292b54f23c06be543264bbf9ea9e58d,"8553c7c7e9cab5a92a0e321a1032950888ada348 + 4ecfda9 + b231545","85f06e6 + 6026968 + 0b4dbb5",Relatório Logística,5,"LogisticsReportScreen + logisticsReportGateway: 2 passed","Ligado a #menu-log-relatorio e à árvore real",0
536821cac583ec73d8d37e95a165446f7be1155d,6903cb6b6bb1a867c28aae0e4d5b8bf2a4ca29c2,e79d8b7,Estoque mínimo,5,"minimumStockGateway: 2 passed; build passou","Ligado a #menu-estoque-minimo; consulta limitada a 500 itens",0
536821cac583ec73d8d37e95a165446f7be1155d,82b8e244cef1cb67ba892929d261dc47c65e4b5d,f16907b,Registrar produção,6,"ProductionRegistrationScreen + productionRegistrationGateway: 5 passed","Ligado a #menu-registrar-producao; usuário e permissão reais",0
536821cac583ec73d8d37e95a165446f7be1155d,81a53f4de19464b6ce2e68a90209a0c4679e5d23,7e5803a,Controle de Pedidos,6,"SalesControlScreen + salesControlGateway: 7 passed","Ligado a #menu-vendas-controle; consulta somente leitura de até 500 pedidos",0
2ef244ba6fb742ed213a39a1ebcab15616856ba7,8be18540f19831a747330b72a7cb42aea834e033,e835381,Primeira Peça,6,"FirstPieceScreen + firstPieceGateway: 4 passed","Ligado a #menu-producao-primeira-peca-ok; sem fila, decisão só após confirmação explícita",0
2ef244ba6fb742ed213a39a1ebcab15616856ba7,"ca1d7dfef701775550c9953f7ddaee8b3cba1dca + a480bd2cbc758d4148c13f2db8f6ba352db58772","35c517e + 5745a58",Registro de produção,5,"productionRecords: 2 passed após correção de contrato","Ligado a #menu-registro-producao; consulta somente leitura",1
2ef244ba6fb742ed213a39a1ebcab15616856ba7,3f52be97ee228d62fb79784a8ca120fda7411f10,cc4ea10,Gráficos de Vendas,5,"salesCharts: 2 passed; build corrigido","Ligado a #menu-vendas-graficos; consulta somente leitura",1
8aff4be96efd5e7e7fd16c98537f5c7703970e82,9f156c4b6947c27175f567d8958ca3d60391f26a,d3f963f,Ocorrências de Produção,6,"incidents: 7 passed","Ligado a #menu-producao-ocorrencias; escrita conservadoramente bloqueada sem nó explícito",0
8aff4be96efd5e7e7fd16c98537f5c7703970e82,f86c45c859b9d158d9efd71755ab6d41b20aab58,29c480f,Registro de Inspeção,6,"inspection records: 4 passed","Ligado a #menu-ri-registro-inspecao; lacunas de schema preservadas",0
8aff4be96efd5e7e7fd16c98537f5c7703970e82,"deb1c8f + 835aa63 + d6a72c2","d5236e7 + 62c6504 + 0adab5f",Mapa de Vendas,5,"sales map: 3 passed","Ligado a #menu-vendas-mapa; somente leitura",0
032e605aeae2d36e076219f5609f565aaf450771,a079b4aeb7cbc99513f876a8fb7b5c215c7f7234,8621ad7,Preparações,6,"preparations: 5 passed","Ligado a #menu-preparacoes; último posto PP bloqueado sem contrato",0
032e605aeae2d36e076219f5609f565aaf450771,cbe25b94758593676efb60ebb427c1f97ee74f2c,90802e1,Manuais de Qualidade,6,"quality manuals: 8 passed","Ligado a #menu-qualidade-manuais; gestão e upload bloqueados",0
032e605aeae2d36e076219f5609f565aaf450771,a53eb55b4a0bef99cd26263cc7f62b3efff77e5c,864da56,Relatório de Produção,5,"production report: 1 passed","Ligado a #menu-producao-relatorio; consulta somente leitura",0
0a28345a13300af619d40c40506ac5b14a0a76aa,2286db7c369226d0633c5cc7a67e69664bf6723f,769a6e4,Configurações de Compras,6,"purchase settings: 5 passed","Ligado a #menu-compras-configuracoes; CRUD opt-in por nó explícito",0
0a28345a13300af619d40c40506ac5b14a0a76aa,bb59f4495f7c11f635166fd3bb257688e0686fc9,2947f84,Solicitações de Envio SAC,6,"sac shipping: 7 passed","Ligado a #menu-sac-solicitacao-envio; VIPP/upload/geração/impressão bloqueados",0
0a28345a13300af619d40c40506ac5b14a0a76aa,da7894d17c72e19f9acdc974dec0da75156252de,d6da606,Relatório SAC/AT,5,"sac report: 1 passed","Ligado a #menu-sac-at-relatorio; consulta somente leitura",0
953effff72557bb8bb967f49f9b413c6e9b70775,2c7c08340cf5cfd3cb9e2c4e162affa4f1ddc70f,19b0534,Gemba de Produção,5,"production Gemba: 2 passed","Ligado a #menu-producao-gemba; GET-only e contrato items[] estrito",1
953effff72557bb8bb967f49f9b413c6e9b70775,15cc86347463803e3ca60607b5bb545c49fe52ee,08a8824,Alterações de Engenharia,4,"engineering changes: 2 passed","Ligado a #menu-engenharia-alteracoes; consulta somente leitura",0
953effff72557bb8bb967f49f9b413c6e9b70775,34d771499f21891acd95308009e928c9937e0126,1edc01d,Monitor do Chatbot,5,"chatbot monitor: 2 passed","Ligado a #menu-chatbot-monitor; endpoints GET-only",0
