modelo,modelo-,capacidadekW,capacidadeBtu,capacidadeKcal,potenciakW,cop,tensaoNominal,faixaTensaoNominal,correnteNominal,frequenciaNominal,correnteRotor,fluidoRefrigerante,ruido,pressaoDescarga,pressaoSuccao,pressaoAguaMin,pressaoAguaMax,vazaoAguaMin,vazaoAguaIdeal,vazaoAguaMax,classeIsolacao,grauProtecao,dimensaoProduto,pesoLiquido
FH40B60T,FH-40B60T,9,32.000,8.000,"2,6","3,6",220 V 1 _7E,208 - 230 V,13,60 Hz,70,R-404A/700g,67,"3,79MPa(550psi)","1,03MPa(150psi)","0,03MPa(3,06m.c.a)","0,49MPa(50,0m.c.a)",4,"6,5",8,Classe I,IPX5,920x425x730,42
FH40B60W,FH-40B60W,9,32.000,8.000,"2,6","3,6",220 V 1_7E,209 - 230 V,13,60 Hz,70,R-404A/700g,67,"3,79MPa(550psi)","1,03MPa(150psi)","0,03MPa(3,06m.c.a)","0,49MPa(50,0m.c.a)",4,"6,5",8,Classe I,IPX5,920x425x730,42
FH40B60,FH-40B60,9,32.000,8.000,"2,6","3,6",220 V 1_7E,210 - 230 V,13,60 Hz,70,R-404A/700g,67,"3,79MPa(550psi)","1,03MPa(150psi)","0,03MPa(3,06m.c.a)","0,49MPa(50,0m.c.a)",4,"6,5",8,Classe I,IPX5,920x425x730,42
FH40D60T,FH-40D60T,9,32.000,8.000,"2,6","3,6",220 V 1_7E,211 - 230 V,13,60 Hz,70,R-404A/700g,67,"3,79MPa(550psi)","1,03MPa(150psi)","0,03MPa(3,06m.c.a)","0,49MPa(50,0m.c.a)",4,"6,5",8,Classe I,IPX5,920x425x730,42
FH40D60W,FH-40D60W,9,32.000,8.000,"2,6","3,6",220 V 1_7E,212 - 230 V,13,60 Hz,70,R-404A/700g,67,"3,79MPa(550psi)","1,03MPa(150psi)","0,03MPa(3,06m.c.a)","0,49MPa(50,0m.c.a)",4,"6,5",8,Classe I,IPX5,920x425x730,42
FH40D60,FH-40D60,9,32.000,8.000,"2,6","3,6",220 V 1_7E,213 - 230 V,13,60 Hz,70,R-404A/700g,67,"3,79MPa(550psi)","1,03MPa(150psi)","0,03MPa(3,06m.c.a)","0,49MPa(50,0m.c.a)",4,"6,5",8,Classe I,IPX5,920x425x730,42
FH80B60T,FH-80B60T,18,64.000,16.000,5,"3,7",220 V 1 _7E,208 - 230 V,23,60 Hz,140,R-404A/1.100g,67,"3,79MPa(550psi)","1,03MPa(150psi)","0,03MPa(3,06m.c.a)","0,49MPa(50,0m.c.a)",5,7,9,Classe I,IPX5,710x680x670,71
FH80B60W,FH-80B60W,18,64.000,16.000,5,"3,7",220 V 1_7E,208 - 230 V,23,60 Hz,140,R-404A/1.100g,67,"3,79MPa(550psi)","1,03MPa(150psi)","0,03MPa(3,06m.c.a)","0,49MPa(50,0m.c.a)",5,7,9,Classe I,IPX5,710x680x670,71
FH80B60,FH-80B60,18,64.000,16.000,5,"3,7",220 V 1_7E,208 - 230 V,23,60 Hz,140,R-404A/1.100g,67,"3,79MPa(550psi)","1,03MPa(150psi)","0,03MPa(3,06m.c.a)","0,49MPa(50,0m.c.a)",5,7,9,Classe I,IPX5,710x680x670,71
FH80D60T,FH-80D60T,18,64.000,16.000,5,"3,7",220 V 1_7E,208 - 230 V,23,60 Hz,140,R-404A/1.100g,67,"3,79MPa(550psi)","1,03MPa(150psi)","0,03MPa(3,06m.c.a)","0,49MPa(50,0m.c.a)",5,7,9,Classe I,IPX5,710x680x670,71
