codigo_produto,codigo,descricao,completo,rua,andar,edificio,apartamento
10485147907,03.MP.I.80073,PAINEL FRONTAL VENTILADOR N11.3.0 SOLAREAST FTi125 32201001000497,02-03-06-002,02,03,06,002
10485147845,03.MP.I.80066,PAINEL LATERAL DIREITO N11.3.0 SOLAREAST FTi125 32201001000192,02-05-22-002,02,05,22,002
10485147856,03.MP.I.80067,PAINEL LATERAL ESQUERDO N11.3.0 SOLAREAST FTi125 32201001000193,02-04-16-002,02,04,16,002
10502445255,03.MP.I.80079,SUPORTE METAL PAINEL LATERAL ESQUERDO N10.3.0 SOLAREAST FTi125,02-04-18-002,02,04,18,002
10502446461,03.MP.I.80080,SUPORTE METAL PAINEL LATERAL DIREITO N11.3.0 SOLAREAST FTi125,02-04-20-002,02,04,20,002
10437794513,05.MP.I.80234,OBSOLETO - EVAPORADORA FTI105 SOLAREAST 742*317*700 - 32210019000083 32151001000103,02-05-01-001,02,05,01,001
10437794513,05.MP.I.80234,OBSOLETO - EVAPORADORA FTI105 SOLAREAST 742*317*700 - 32210019000083 32151001000103,01-05-01-002,01,05,01,002
10485147919,03.MP.I.80075,DIVISORIA DO COMPRESSOR DE FERRO PINTADO FTI105 FTI125 32200009000115,01-02-04-001,01,02,04,001
10485147887,03.MP.I.80071,TAMPA SUPERIOR N11.3.0 FTi125 32201001000194,02-03-04-002,02,03,04,002
10485147919,03.MP.I.80075,DIVISORIA DO COMPRESSOR DE FERRO PINTADO FTI105 FTI125 32200009000115,02-04-04-002,02,04,04,002
10502444449,03.MP.I.80097,SUPORTE METAL TAMPA SUPERIOR N11.3.0 SOLAREAST FTi125,02-04-16-002,02,04,16,002
10504526149,04.MP.I.80099,CAIXA DE METAL ELETRICA DESMONTADAS DAS FTI125D40PT - **SEM COD** - ITEM 10,01-05-04-001,01,05,04,001
10437794544,05.MP.I.80217,OBSOLETO - EVAPORADORA FTI125 SOLAREAST 740*322*700/ - 32210019000130 32151001000101,02-05-03-001,02,05,03,001
10409717299,04.MP.I.60806,MOTOR VENTILADOR 1/4CV 220V YDK-185-6A6 1 VELOCIDADE 5MFD,01-01-06-001,01,01,06,001
10409717299,04.MP.I.60806,MOTOR VENTILADOR 1/4CV 220V YDK-185-6A6 1 VELOCIDADE 5MFD,01-01-06-002,01,01,06,002
10409717299,04.MP.I.60806,MOTOR VENTILADOR 1/4CV 220V YDK-185-6A6 1 VELOCIDADE 5MFD,01-02-06-001,01,02,06,001
10409717299,04.MP.I.60806,MOTOR VENTILADOR 1/4CV 220V YDK-185-6A6 1 VELOCIDADE 5MFD,01-02-06-002,01,02,06,002
10409717303,04.MP.I.60808,"MOTOR VENTILADOR FT20/25 AXIAL 300MM 220V 77W DUNLI YWFA45-300S-5D 2,5UF",01-05-02-001,01,05,02,001
10409717303,04.MP.I.60808,"MOTOR VENTILADOR FT20/25 AXIAL 300MM 220V 77W DUNLI YWFA45-300S-5D 2,5UF",01-05-02-002,01,05,02,002
10409717303,04.MP.I.60808,"MOTOR VENTILADOR FT20/25 AXIAL 300MM 220V 77W DUNLI YWFA45-300S-5D 2,5UF",01-04-06-001,01,04,06,001
10409717303,04.MP.I.60808,"MOTOR VENTILADOR FT20/25 AXIAL 300MM 220V 77W DUNLI YWFA45-300S-5D 2,5UF",01-04-06-002,01,04,06,002
10409717303,04.MP.I.60808,"MOTOR VENTILADOR FT20/25 AXIAL 300MM 220V 77W DUNLI YWFA45-300S-5D 2,5UF",01-05-06-001,01,05,06,001
10409717303,04.MP.I.60808,"MOTOR VENTILADOR FT20/25 AXIAL 300MM 220V 77W DUNLI YWFA45-300S-5D 2,5UF",01-05-06-002,01,05,06,002
10409717303,04.MP.I.60808,"MOTOR VENTILADOR FT20/25 AXIAL 300MM 220V 77W DUNLI YWFA45-300S-5D 2,5UF",01-06-06-001,01,06,06,001
10409717303,04.MP.I.60808,"MOTOR VENTILADOR FT20/25 AXIAL 300MM 220V 77W DUNLI YWFA45-300S-5D 2,5UF",01-06-06-002,01,06,06,002
10409717297,04.MP.I.60805,MOTOR VENTILADOR 1/2CV 220V YDK-375-6A15 2 VELOCIDADES 15MFD,01-01-08-001,01,01,08,001
10409717297,04.MP.I.60805,MOTOR VENTILADOR 1/2CV 220V YDK-375-6A15 2 VELOCIDADES 15MFD,01-01-08-002,01,01,08,002
10409717297,04.MP.I.60805,MOTOR VENTILADOR 1/2CV 220V YDK-375-6A15 2 VELOCIDADES 15MFD,01-02-08-001,01,02,08,001
10409717297,04.MP.I.60805,MOTOR VENTILADOR 1/2CV 220V YDK-375-6A15 2 VELOCIDADES 15MFD,01-02-08-002,01,02,08,002
10409717303,04.MP.I.60808,"MOTOR VENTILADOR FT20/25 AXIAL 300MM 220V 77W DUNLI YWFA45-300S-5D 2,5UF",01-03-08-001,01,03,08,001
10409717303,04.MP.I.60808,"MOTOR VENTILADOR FT20/25 AXIAL 300MM 220V 77W DUNLI YWFA45-300S-5D 2,5UF",01-03-08-002,01,03,08,002
10409717303,04.MP.I.60808,"MOTOR VENTILADOR FT20/25 AXIAL 300MM 220V 77W DUNLI YWFA45-300S-5D 2,5UF",01-05-04-001,01,05,04,001
10409717303,04.MP.I.60808,"MOTOR VENTILADOR FT20/25 AXIAL 300MM 220V 77W DUNLI YWFA45-300S-5D 2,5UF",01-03-08-002,01,03,08,002
10409717303,04.MP.I.60808,"MOTOR VENTILADOR FT20/25 AXIAL 300MM 220V 77W DUNLI YWFA45-300S-5D 2,5UF",01-05-08-001,01,05,08,001
10409717303,04.MP.I.60808,"MOTOR VENTILADOR FT20/25 AXIAL 300MM 220V 77W DUNLI YWFA45-300S-5D 2,5UF",01-05-08-002,01,05,08,002
10409717303,04.MP.I.60808,"MOTOR VENTILADOR FT20/25 AXIAL 300MM 220V 77W DUNLI YWFA45-300S-5D 2,5UF",01-06-08-001,01,06,08,001
10409717303,04.MP.I.60808,"MOTOR VENTILADOR FT20/25 AXIAL 300MM 220V 77W DUNLI YWFA45-300S-5D 2,5UF",01-06-08-002,01,06,08,002
10437794455,04.MP.I.80122,"MOTOR VENTILADOR 34W DC FTI25,35 RD34HA/110CM- 13080004000097",01-01-10-001,01,01,10,001
10722532212,04.MP.I.60811,MOTOR VENTILADOR 150W DC INVERTER 310VDC,01-02-10-001,01,02,10,001
10409717636,04.MP.I.80121,"MOTOR VENTILADOR 50W DC FTI45,55,75 RD50HP/DC310V/50W/130CM - 13080004000112",01-01-02-001,01,01,02,001
10409717301,04.MP.I.60807,MOTOR VENTILADOR FT40 AXIAL 300MM 220V / 100W YWF4E295S-5AN-AES0 2.5MFD,01-03-02-001,01,03,02,001
10409717301,04.MP.I.60807,MOTOR VENTILADOR FT40 AXIAL 300MM 220V / 100W YWF4E295S-5AN-AES0 2.5MFD,01-05-04-002,01,05,04,002
10409717303,04.MP.I.60808,"MOTOR VENTILADOR FT20/25 AXIAL 300MM 220V 77W DUNLI YWFA45-300S-5D 2,5UF",01-04-10-001,01,04,10,001
10409717303,04.MP.I.60808,"MOTOR VENTILADOR FT20/25 AXIAL 300MM 220V 77W DUNLI YWFA45-300S-5D 2,5UF",01-04-10-002,01,04,10,002
10409717303,04.MP.I.60808,"MOTOR VENTILADOR FT20/25 AXIAL 300MM 220V 77W DUNLI YWFA45-300S-5D 2,5UF",01-05-10-001,01,05,10,001
10409717303,04.MP.I.60808,"MOTOR VENTILADOR FT20/25 AXIAL 300MM 220V 77W DUNLI YWFA45-300S-5D 2,5UF",01-04-10-002,01,04,10,002
10409717303,04.MP.I.60808,"MOTOR VENTILADOR FT20/25 AXIAL 300MM 220V 77W DUNLI YWFA45-300S-5D 2,5UF",01-06-10-001,01,06,10,001
10409717303,04.MP.I.60808,"MOTOR VENTILADOR FT20/25 AXIAL 300MM 220V 77W DUNLI YWFA45-300S-5D 2,5UF",01-06-10-002,01,06,10,002
10409717295,04.MP.I.60804,MOTOR VENTILADOR 1/10CV 220V YDK-120-75-6A 850RPM,01-03-04-001,01,03,04,001
10722526318,04.MP.I.60809,"ENGENHARIA - MOTOR VENTILADOR 1/6CV-125W YDK-125-8A60 220V 7,5MFD",01-03-12-002,01,03,12,002
10722531603,04.MP.I.60810,ENGENHARIA - MOTOR VENTILADOR 1/3CV-250W YDK-250-4A60 220V 12MFD,01-03-12-002,01,03,12,002
10409717301,04.MP.I.60807,MOTOR VENTILADOR FT40 AXIAL 300MM 220V / 100W YWF4E295S-5AN-AES0 2.5MFD,01-03-12-002,01,03,12,002
10409717303,04.MP.I.60808,"MOTOR VENTILADOR FT20/25 AXIAL 300MM 220V 77W DUNLI YWFA45-300S-5D 2,5UF",01-04-12-001,01,04,12,001
10409717303,04.MP.I.60808,"MOTOR VENTILADOR FT20/25 AXIAL 300MM 220V 77W DUNLI YWFA45-300S-5D 2,5UF",01-04-12-002,01,04,12,002
10409717303,04.MP.I.60808,"MOTOR VENTILADOR FT20/25 AXIAL 300MM 220V 77W DUNLI YWFA45-300S-5D 2,5UF",01-05-12-001,01,05,12,001
10409717303,04.MP.I.60808,"MOTOR VENTILADOR FT20/25 AXIAL 300MM 220V 77W DUNLI YWFA45-300S-5D 2,5UF",01-05-12-002,01,05,12,002
10409717303,04.MP.I.60808,"MOTOR VENTILADOR FT20/25 AXIAL 300MM 220V 77W DUNLI YWFA45-300S-5D 2,5UF",01-06-12-001,01,06,12,001
10409717303,04.MP.I.60808,"MOTOR VENTILADOR FT20/25 AXIAL 300MM 220V 77W DUNLI YWFA45-300S-5D 2,5UF",01-06-12-002,01,06,12,002
10409717281,04.MP.I.60605,*CONTATORA BAQUELITE 3 POLOS LTC-3S-30 30A 208/240V,01-01-08-002,01,01,08,002
10409717177,03.MP.I.50104,GRADE VENTILADOR N08 530MM PLASTICO N08,01-03-14-001,01,03,14,001
10409717177,03.MP.I.50104,GRADE VENTILADOR N08 530MM PLASTICO N08,01-03-14-002,01,03,14,002
10409717177,03.MP.I.50104,GRADE VENTILADOR N08 530MM PLASTICO N08,01-04-14-001,01,04,14,001
10409717177,03.MP.I.50104,GRADE VENTILADOR N08 530MM PLASTICO N08,01-04-14-002,01,04,14,002
10409717177,03.MP.I.50104,GRADE VENTILADOR N08 530MM PLASTICO N08,01-05-14-001,01,05,14,001
10409717177,03.MP.I.50104,GRADE VENTILADOR N08 530MM PLASTICO N08,01-05-14-002,01,05,14,002
10409717177,03.MP.I.50104,GRADE VENTILADOR N08 530MM PLASTICO N08,01-06-14-001,01,06,14,001
10409717177,03.MP.I.50104,GRADE VENTILADOR N08 530MM PLASTICO N08,01-06-14-002,01,06,14,002
10409717432,04.MP.N.62019,OBSOLETO - DISPLAY CONTROLADOR PDX - DIGITAL PDX1281N,01-01-16-001,01,01,16,001
10409717319,04.MP.N.61017,PLACA CONTROLADOR THOLZ PDX1281N,01-01-16-001,01,01,16,001
10409717434,04.MP.N.62020,OBSOLETO - DISPLAY CONTROLADOR MTZ1273N/P706,01-01-16-002,01,01,16,002
10409717317,04.MP.N.61016,PLACA CONTROLADOR THOLZ MTZ1273N/P706,01-01-13-002,01,01,13,002
10443272248,IFV-2CV,BOMBA DE AGUA INVERTER IFV 2CV,01-06-18-001,01,06,18,001
10443269075,IFV-1CV,BOMBA DE AGUA INVERTER IFV 1CV,01-07-18-002,01,07,18,002
10488309886,02.MP.I.40004,CONEXAO TEE 50MM PVC PRETO,01-04-16-001,01,04,16,001
10488308772,02.MP.I.40003,CONEXAO TEE 40MM PVC PRETO,01-04-16-002,01,04,16,002
10652307190,08.EM.N.31011,CAIXA PAPELAO ANTIGA FT50,01-05-16-001,01,05,16,001
10652307502,08.EM.N.31012,FUNDO PAPELAO ANTIGA FT50,01-05-16-002,01,05,16,002
10431269442,04.MP.I.80204,"REATOR ELETRONICO 60000BTU 3,5mH + 3,5mH MONO - L30A01/03-0600508/ZK - 13080002000520",01-03-18-PTL,01,03,18,PTL
10431268932,04.MP.I.80201,*PLACA CONTROLADORA INVERTER SOLAREAST MONO FTi-125D - RCDF211294 - 13080002000518,01-02-18-PTL,01,02,18,PTL
